Date,Confirmed,Deaths,Recovered
03/10/20,1,0,0
03/11/20,0,0,0
03/12/20,0,0,0
03/13/20,4,0,0
03/14/20,1,0,0
03/15/20,12,0,0
03/16/20,29,0,0
03/17/20,29,0,0
03/18/20,51,1,0
03/19/20,168,3,0
03/20/20,311,5,0
03/21/20,277,12,0
03/22/20,289,9,0
03/23/20,293,7,0
03/24/20,343,7,0
03/25/20,561,15,0
03/26/20,1196,16,0
03/27/20,2096,17,42
03/28/20,1704,16,28
03/29/20,1815,23,35
03/30/20,1610,37,57
03/31/20,2704,46,81
04/01/20,2148,63,90
04/02/20,2456,79,82
04/03/20,2786,69,69
04/04/20,3013,76,302
04/05/20,3135,73,256
04/06/20,3148,75,786
04/07/20,3892,76,256
04/08/20,4117,87,264
04/09/20,4056,96,296
04/10/20,4747,98,281
04/11/20,5138,95,542
04/12/20,4789,97,481
04/13/20,4093,98,511
04/14/20,4062,107,842
04/15/20,4281,115,875
04/16/20,4801,125,1415
04/17/20,4353,126,1542
04/18/20,3783,121,1822
04/19/20,3977,127,1523
04/20/20,4674,123,1454
04/21/20,4611,119,1488
04/22/20,3083,117,1559
04/23/20,3116,115,2014
04/24/20,3122,109,3246
04/25/20,2861,106,3845
04/26/20,2357,99,3558
04/27/20,2131,95,4651
04/28/20,2392,92,5018
04/29/20,2936,89,5231
04/30/20,2615,93,4846
